         2299589 function calls (2299201 primitive calls) in 8.727 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 UserDict.py:40(items)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1085(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1100(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1365(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1373(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.001    0.001    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:645(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:809(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:876(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:936(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:983(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:988(__init__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        5    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.002    0.002    0.032    0.032 artifactbuildercollection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifactbuildercollection.py:10(ArtifactBuilderCollection)
   139799    0.318    0.000    1.190    0.000 artifactbuildercollection.py:119(complete)
        1    0.000    0.000    0.000    0.000 artifactbuildercollection.py:51(__init__)
        1    0.000    0.000    0.012    0.012 artifactbuildercollection.py:75(get_log_handle)
        1    0.396    0.396    8.693    8.693 artifactbuildercollection.py:79(parse)
        1    0.001    0.001    0.014    0.014 artifactbuilders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:17(__init__)
   139799    0.565    0.000    6.427    0.000 artifactbuilders.py:35(parse_line)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:44(get_artifact)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:5(ArtifactBuilderBase)
   139799    0.310    0.000    0.799    0.000 artifactbuilders.py:50(complete)
   279598    0.259    0.000    0.336    0.000 artifactbuilders.py:53(<genexpr>)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:56(BuildbotJobArtifactBuilder)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:65(__init__)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:73(name)
        1    0.000    0.000    0.000    0.000 artifactbuilders.py:83(BuildbotLogViewArtifactBuilder)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.001    0.001    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:1(<module>)
        2    0.001    0.001    0.002    0.001 collections.py:237(namedtuple)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
       99    0.000    0.000    0.001    0.000 collections.py:277(<genexpr>)
       13    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:356(Counter)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        9    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        2    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
     3024    0.006    0.000    0.009    0.000 gzip.py:145(_check_closed)
        1    0.000    0.000    0.000    0.000 gzip.py:178(_init_read)
        1    0.000    0.000    0.001    0.001 gzip.py:182(_read_gzip_header)
     3024    0.015    0.000    0.131    0.000 gzip.py:236(read)
        3    0.000    0.000    0.000    0.000 gzip.py:24(read32)
     1511    0.004    0.000    0.006    0.000 gzip.py:269(_unread)
     1583    0.008    0.000    0.106    0.000 gzip.py:273(_read)
     1582    0.013    0.000    0.052    0.000 gzip.py:323(_add_read_data)
        1    0.000    0.000    0.000    0.000 gzip.py:331(_read_eof)
     3026    0.003    0.000    0.003    0.000 gzip.py:355(closed)
        1    0.000    0.000    0.000    0.000 gzip.py:359(close)
        1    0.000    0.000    0.000    0.000 gzip.py:36(GzipFile)
        1    0.000    0.000    0.001    0.001 gzip.py:4(<module>)
   139800    0.382    0.000    0.667    0.000 gzip.py:434(readline)
        1    0.000    0.000    0.000    0.000 gzip.py:45(__init__)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 httplib.py:1044(HTTP)
        1    0.000    0.000    0.000    0.000 httplib.py:1140(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 httplib.py:1165(HTTPS)
        1    0.000    0.000    0.000    0.000 httplib.py:1198(HTTPException)
        1    0.000    0.000    0.000    0.000 httplib.py:1203(NotConnected)
        1    0.000    0.000    0.000    0.000 httplib.py:1206(InvalidURL)
        1    0.000    0.000    0.000    0.000 httplib.py:1209(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 httplib.py:1214(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 httplib.py:1217(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 httplib.py:1220(IncompleteRead)
        1    0.000    0.000    0.000    0.000 httplib.py:1234(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 httplib.py:1237(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 httplib.py:1240(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 httplib.py:1243(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 httplib.py:1246(BadStatusLine)
        1    0.000    0.000    0.000    0.000 httplib.py:1253(LineTooLong)
        1    0.000    0.000    0.000    0.000 httplib.py:1261(LineAndFileWrapper)
        1    0.000    0.000    0.000    0.000 httplib.py:218(HTTPMessage)
        1    0.000    0.000    0.000    0.000 httplib.py:325(HTTPResponse)
        1    0.000    0.000    0.000    0.000 httplib.py:669(HTTPConnection)
        1    0.001    0.001    0.008    0.008 httplib.py:67(<module>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 io.py:78(IOBase)
        1    0.000    0.000    0.000    0.000 io.py:81(RawIOBase)
        1    0.000    0.000    0.000    0.000 io.py:84(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 io.py:87(TextIOBase)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.001    0.001 mimetools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetools.py:20(Message)
        1    0.000    0.000    0.000    0.000 mimetools.py:24(__init__)
        1    0.000    0.000    0.000    0.000 mimetools.py:33(parsetype)
        1    0.000    0.000    0.000    0.000 mimetools.py:50(parseplist)
        1    0.000    0.000    0.004    0.004 mimetypes.py:194(read)
        1    0.002    0.002    0.004    0.004 mimetypes.py:205(readfp)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.004    0.004 mimetypes.py:275(guess_type)
        1    0.000    0.000    0.004    0.004 mimetypes.py:348(init)
        1    0.000    0.000    0.000    0.000 mimetypes.py:378(_default_mime_types)
        1    0.000    0.000    0.000    0.000 mimetypes.py:56(MimeTypes)
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(__init__)
      663    0.001    0.000    0.001    0.000 mimetypes.py:78(add_type)
        1    0.000    0.000    0.000    0.000 mimetypes.py:95(guess_type)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.013    0.013 parsers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parsers.py:10(__init__)
        1    0.000    0.000    0.000    0.000 parsers.py:175(TinderboxPrintParser)
        1    0.000    0.000    0.000    0.000 parsers.py:179(__init__)
   139799    0.178    0.000    0.840    0.000 parsers.py:183(parse_line)
        1    0.000    0.000    0.010    0.010 parsers.py:190(ErrorParser)
        2    0.000    0.000    0.000    0.000 parsers.py:20(get_artifact)
        1    0.000    0.000    0.000    0.000 parsers.py:220(__init__)
   139799    0.187    0.000    4.868    0.000 parsers.py:224(parse_line)
   419397    0.231    0.000    0.231    0.000 parsers.py:24(complete)
        1    0.000    0.000    0.001    0.001 parsers.py:30(HeaderParser)
        1    0.000    0.000    0.000    0.000 parsers.py:5(ParserBase)
        1    0.000    0.000    0.002    0.002 parsers.py:66(StepParser)
        1    0.000    0.000    0.000    0.000 posixpath.py:118(dirname)
        1    0.000    0.000    0.000    0.000 posixpath.py:312(normpath)
        1    0.000    0.000    0.000    0.000 posixpath.py:341(abspath)
        1    0.000    0.000    0.000    0.000 posixpath.py:43(normcase)
        1    0.000    0.000    0.000    0.000 posixpath.py:51(isabs)
        1    0.000    0.000    0.000    0.000 posixpath.py:60(join)
        2    0.000    0.000    0.000    0.000 posixpath.py:95(splitext)
        1    0.002    0.002    8.727    8.727 profile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:651(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:801(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
       18    0.000    0.000    0.019    0.001 re.py:188(compile)
       18    0.000    0.000    0.019    0.001 re.py:226(_compile)
        1    0.000    0.000    0.000    0.000 rfc822.py:122(readheaders)
        3    0.000    0.000    0.000    0.000 rfc822.py:197(isheader)
        3    0.000    0.000    0.000    0.000 rfc822.py:209(islast)
        3    0.000    0.000    0.000    0.000 rfc822.py:219(iscomment)
        2    0.000    0.000    0.000    0.000 rfc822.py:285(getheader)
        1    0.000    0.000    0.000    0.000 rfc822.py:496(AddrlistClass)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 rfc822.py:770(AddressList)
        1    0.000    0.000    0.000    0.000 rfc822.py:85(Message)
        1    0.000    0.000    0.000    0.000 rfc822.py:88(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.001    0.001    0.003    0.003 socket.py:45(<module>)
       43    0.000    0.000    0.001    0.000 sre_compile.py:178(_compile_charset)
       43    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
       70    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        4    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
   141/18    0.003    0.000    0.006    0.000 sre_compile.py:32(_compile)
       64    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       18    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
       36    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       18    0.000    0.000    0.008    0.000 sre_compile.py:480(_code)
       18    0.000    0.000    0.019    0.001 sre_compile.py:495(compile)
       20    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
      271    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
      910    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
       64    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      677    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
   205/82    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
       18    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
     1329    0.002    0.000    0.003    0.000 sre_parse.py:182(__next)
      345    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
     1187    0.001    0.000    0.004    0.000 sre_parse.py:201(get)
       17    0.000    0.000    0.000    0.000 sre_parse.py:205(tell)
       34    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        7    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        2    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       49    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
    47/18    0.000    0.000    0.010    0.001 sre_parse.py:301(_parse_sub)
    73/40    0.003    0.000    0.010    0.000 sre_parse.py:379(_parse)
       18    0.000    0.000    0.011    0.001 sre_parse.py:663(parse)
       18    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       22    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       22    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 sre_parse.py:85(checkgroup)
      141    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        1    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
        1    0.000    0.000    0.000    0.000 tempfile.py:107(_RandomNameSequence)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:364(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 tempfile.py:493(SpooledTemporaryFile)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:100(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:103(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:105(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:180(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:183(_Condition)
